#{"t_start": 1772927231.650998, "env_id": "None"}
r,l,t
-10.0,1,0.682315
-10.0,1,0.682772
-10.0,1,0.683234
-10.0,1,0.683688
-10.0,1,0.68417
-10.0,1,0.68468
-10.0,1,0.685204
-10.0,1,0.685714
-10.0,1,0.686349
-10.0,1,0.686916
-10.0,1,0.687361
-10.0,1,0.687807
-10.0,1,0.688241
-10.0,1,0.688673
-10.0,1,0.689106
-10.0,1,0.689562
-10.0,1,0.690027
-10.0,1,0.690457
-10.0,1,0.690896
-10.0,1,0.691343
-10.0,1,0.691779
-10.0,1,0.692228
-10.0,1,0.692658
-9.99,2,0.693543
-10.0,1,0.693978
-10.0,1,0.694427
-9.99,2,0.695274
-10.0,1,0.695701
-10.0,1,0.696134
-10.0,1,0.696576
-10.0,1,0.697037
-10.0,1,0.697799
-10.0,1,0.698384
-10.0,1,0.698898
-10.0,1,0.699401
-10.0,1,0.699876
-10.0,1,0.700353
-10.0,1,0.700809
-10.0,1,0.701291
-10.0,1,0.701877
-10.0,1,0.702403
-9.99,2,0.703377
-10.0,1,0.70382
-10.0,1,0.704284
-10.0,1,0.704719
-9.99,2,0.705567
-10.0,1,0.70602
-10.0,1,0.706448
-10.0,1,0.70688
-10.0,1,0.707457
-10.0,1,0.708064
-10.0,1,0.708534
-10.0,1,0.709017
-10.0,1,0.709472
-10.0,1,0.709942
-10.0,1,0.710414
-10.0,1,0.710892
-10.0,1,0.711417
-10.0,1,0.711884
-10.0,1,0.712314
-10.0,1,0.712748
-10.0,1,0.71319
-10.0,1,0.71364
-10.0,1,0.714074
-10.0,1,0.714521
-10.0,1,0.714966
-10.0,1,0.715401
-10.0,1,0.715835
-10.0,1,0.716276
-10.0,1,0.716711
-10.0,1,0.717142
-10.0,1,0.717882
-10.0,1,0.718457
-10.0,1,0.71895
-10.0,1,0.719463
-10.0,1,0.719961
-10.0,1,0.720395
-10.0,1,0.720826
-10.0,1,0.721263
-10.0,1,0.721689
-10.0,1,0.722127
-10.0,1,0.722555
-10.0,1,0.723005
-10.0,1,0.723431
-10.0,1,0.723862
-10.0,1,0.724318
-10.0,1,0.724772
-9.99,2,0.72564
-10.0,1,0.726079
-10.0,1,0.726522
-10.0,1,0.726956
-10.0,1,0.727608
-10.0,1,0.728211
-10.0,1,0.728652
-10.0,1,0.729086
-10.0,1,0.729522
-10.0,1,0.729966
-10.0,1,0.73041
-10.0,1,0.730859
-10.0,1,0.731326
-10.0,1,0.731759
-10.0,1,0.732214
-10.0,1,0.732658
-10.0,1,0.733098
-10.0,1,0.733539
-10.0,1,0.733983
-10.0,1,0.734415
-10.0,1,0.734868
-10.0,1,0.735302
-10.0,1,0.735737
-10.0,1,0.736168
-10.0,1,0.736613
-10.0,1,0.737056
-10.0,1,0.737498
-10.0,1,0.73818
-10.0,1,0.738755
-10.0,1,0.739241
-10.0,1,0.739679
-10.0,1,0.740112
-10.0,1,0.74055
-10.0,1,0.740981
-10.0,1,0.741427
-10.0,1,0.74186
-10.0,1,0.742305
-10.0,1,0.742749
-10.0,1,0.743181
-10.0,1,0.743616
-10.0,1,0.744049
-10.0,1,0.744484
-10.0,1,0.744916
-10.0,1,0.745346
-10.0,1,0.745795
-10.0,1,0.746239
-10.0,1,0.746672
-10.0,1,0.747109
-10.0,1,0.747533
-10.0,1,0.748279
