#{"t_start": 1772926217.36163, "env_id": "None"}
r,l,t
-10.0,1,0.7402
-10.0,1,0.740731
-10.0,1,0.741272
-10.0,1,0.741773
-10.0,1,0.742222
-10.0,1,0.742666
-10.0,1,0.743106
-10.0,1,0.743531
-10.0,1,0.743966
-10.0,1,0.744398
-10.0,1,0.744831
-10.0,1,0.745253
-10.0,1,0.745682
-10.0,1,0.746143
-10.0,1,0.746585
-10.0,1,0.747039
-10.0,1,0.747493
-10.0,1,0.747931
-10.0,1,0.748678
-10.0,1,0.749357
-10.0,1,0.749898
-10.0,1,0.750409
-10.0,1,0.750906
-10.0,1,0.751418
-10.0,1,0.751904
-10.0,1,0.752377
-10.0,1,0.752944
-10.0,1,0.753427
-10.0,1,0.753864
-10.0,1,0.754298
-10.0,1,0.754736
-10.0,1,0.755172
-10.0,1,0.75561
-10.0,1,0.756068
-10.0,1,0.756521
-10.0,1,0.756966
-10.0,1,0.757411
-10.0,1,0.757852
-10.0,1,0.75839
-10.0,1,0.759039
-9.99,2,0.760053
-10.0,1,0.760552
-10.0,1,0.761062
-10.0,1,0.761571
-10.0,1,0.762014
-10.0,1,0.762445
-10.0,1,0.762889
-10.0,1,0.763321
-10.0,1,0.763766
-10.0,1,0.764199
-10.0,1,0.764631
-10.0,1,0.765065
-10.0,1,0.765514
-10.0,1,0.765948
-9.99,2,0.766793
-10.0,1,0.767231
-10.0,1,0.767664
-10.0,1,0.768094
-10.0,1,0.768892
-10.0,1,0.769491
-10.0,1,0.770083
-10.0,1,0.770581
-10.0,1,0.771049
-10.0,1,0.771498
-10.0,1,0.771942
-9.99,2,0.772875
-10.0,1,0.773351
-10.0,1,0.773813
-10.0,1,0.774256
-10.0,1,0.774698
-10.0,1,0.775158
-10.0,1,0.775598
-10.0,1,0.776033
-10.0,1,0.77647
-10.0,1,0.776907
-10.0,1,0.777344
-10.0,1,0.77778
-10.0,1,0.778221
-10.0,1,0.779005
-10.0,1,0.779561
-10.0,1,0.780122
-10.0,1,0.780681
-10.0,1,0.781142
-10.0,1,0.781592
-10.0,1,0.782035
-10.0,1,0.78247
-10.0,1,0.782904
-9.99,2,0.783759
-10.0,1,0.784199
-10.0,1,0.784655
-10.0,1,0.785092
-10.0,1,0.785525
-10.0,1,0.785963
-10.0,1,0.786412
-10.0,1,0.786848
-10.0,1,0.787303
-10.0,1,0.787757
-10.0,1,0.788502
-10.0,1,0.789239
-10.0,1,0.789868
-10.0,1,0.790432
-9.99,2,0.791344
-10.0,1,0.791798
-9.99,2,0.792662
-10.0,1,0.793105
-9.99,2,0.793954
-10.0,1,0.794415
-10.0,1,0.794852
-10.0,1,0.795289
-10.0,1,0.795723
-10.0,1,0.796159
-10.0,1,0.796593
-10.0,1,0.797027
-10.0,1,0.797458
-10.0,1,0.79789
-10.0,1,0.798371
-10.0,1,0.798884
-10.0,1,0.799334
-10.0,1,0.799767
-10.0,1,0.800199
-10.0,1,0.80063
-10.0,1,0.801061
-10.0,1,0.801497
-10.0,1,0.801931
-10.0,1,0.802363
-10.0,1,0.802796
-10.0,1,0.803252
-10.0,1,0.80369
-10.0,1,0.80413
-10.0,1,0.804568
-10.0,1,0.805015
-10.0,1,0.80545
-10.0,1,0.805908
-10.0,1,0.806359
-10.0,1,0.806804
-10.0,1,0.80726
-10.0,1,0.807723
-10.0,1,0.808187
-10.0,1,0.80906
-10.0,1,0.809654
-10.0,1,0.810176
-10.0,1,0.810689
-10.0,1,0.811227
-10.0,1,0.811709
-10.0,1,0.812142
-10.0,1,0.812575
-9.99,2,0.813451
-10.0,1,0.813891
-10.0,1,0.814325
-9.99,2,0.815164
-10.0,1,0.8156
-10.0,1,0.816025
-10.0,1,0.816463
-10.0,1,0.816893
-10.0,1,0.817341
-10.0,1,0.817772
-10.0,1,0.818205
-10.0,1,0.81893
-9.99,2,0.820071
-10.0,1,0.820583
-9.99,2,0.821557
-10.0,1,0.822043
-10.0,1,0.822541
-10.0,1,0.823026
-10.0,1,0.823611
